CS1.1.1;CS1.1.1 Surfaces baties
CS1.1.2;CS1.1.2 Surfaces non baties
CS1.2.1;CS1.2.1 Surfaces a materiaux mineraux - pierre - terre
CS1.2.2;CS1.2.2 Surfaces composees d autres materiaux
CS2.1.1;CS2.1.1 Plage de sable
CS2.1.2;CS2.1.2 Dunes
CS2.1.3;CS2.1.3 Vasieres et alluvions sableux
CS2.2.1;CS2.2.1 Plages de galets et alluvions grossiers
CS2.2.2;CS2.2.2 Cotes rocheuses et falaises
CS3.1.1;CS3.1.1 Plans d eau
CS3.1.2;CS3.1.2 Cours d eau
CS3.2.1;CS3.2.1 Zone subtidale saumatre
CS3.2.2;CS3.2.2 Mer
CS4.1.1;CS4.1.1 Feuillus sur dunes
CS4.1.2;CS4.1.2 Feuillus
CS4.1.3;CS4.1.3 Boisements humides
CS4.2.1;CS4.2.1 Coniferes sur dunes
CS4.2.2;CS4.2.2 Coniferes
CS4.3.1;CS4.3.1 Peuplements mixtes sur dunes
CS4.3.2;CS4.3.2 Peuplements mixtes ou indetermines
CS4.4.0;CS4.4.0 Vergers
CS5.1.1;CS5.1.1 Landes - fourres - broussailles
CS5.1.2;CS5.1.2 Landes et fourres humides
CS5.1.3;CS5.1.3 Vegetations arbustives sur dunes
CS5.2.0;CS5.2.0 Vignes
CS6.1.1;CS6.1.1 Prairies mesophiles
CS6.1.2;CS6.1.2 Prairies humides
CS6.2.0;CS6.2.0 Pelouses naturelles
CS6.3.0;CS6.3.0 Terres arables
CS6.4.1;CS6.4.1 Formations herbacees humides continentales
CS6.4.2;CS6.4.2 Formations herbacees humides maritimes
CS6.5.0;CS6.5.0 Formations herbacees sur dunes
CS6.6.0;CS6.6.0 Autres couverts a dominante herbacee
