CODE_P21;LIBELLE_21P
1;Bâti de l’habitat
2;Bâti des exploitations agricoles
3;Bâti commercial
4;Bâti industriel et autres activités économiques
5;Bâti des services et transports
6;Autres bâtis
7;Routes
8;Voies ferrées
9;Zones aéroportuaires
10;Canaux et rivières navigables
11;Espaces non végétalisés de l'habitat
12;Espaces végétalisés de l'habitat
13;Autres espaces artificialisés non végétalisés
14;Autres espaces artificialisés végétalisés
15;Prairies
16;Cultures annuelles
17;Autres terres agricoles
18;Surfaces en eau
19;Espaces boisés
20;Espaces végétalisés non boisés
21;Espaces non végétalisés
